quarter,date_began,date_ended,domestic company owned revenue,domestic franchise revenue,total revenue,yoy domestic company owned revenue,yoy domestic franchise revenue,yoy total revenue
2015 Q1,,3/22/2015,92375,61774,154149,,,
2015 Q2,3/23/2015,6/14/2015,88794,60827,149621,,,
2015 Q3,6/15/2015,9/6/2015,86456,59385,145841,,,
2015 Q4,9/7/2015,1/3/2016,129275,90814,220089,,,
2016 Q1,1/4/2016,3/27/2016,96443,68151,164594,0.044037889,0.103231133,0.067759116
2016 Q2,3/28/2016,6/19/2016,97834,69675,167509,0.101808681,0.145461719,0.11955541
2016 Q3,6/20/2016,9/11/2016,100966,70637,171603,0.167831035,0.189475457,0.176644428
2016 Q4,9/12/2016,1/1/2017,143757,103837,247594,0.112024753,0.143403,0.12497217
2017 Q1,1/2/2017,3/26/2017,113545,79901,193446,0.177327541,0.172411263,0.17529193
2017 Q2,3/27/2017,6/18/2017,112430,82403,194833,0.149191488,0.182676713,0.163119594
2017 Q3,6/19/2017,9/10/2017,112905,80244,193149,0.118247727,0.13600521,0.125557246
2017 Q4,9/11/2017,12/31/2017,151920,108852,260772,0.056783322,0.04829685,0.05322423
2018 Q1,1/1/2018,3/25/2018,121186,89490,210676,0.067294905,0.120011014,0.089068784
2018 Q2,3/26/2018,6/17/2018,118795,87418,206213,0.056613004,0.060859435,0.058408996
2018 Q3,6/18/2018,9/9/2018,118540,89427,207967,0.049909216,0.114438463,0.076717974
